ID,Smape,cpuTime,
1280,0.432322499,0.07,
1281,0.232419737,0.07,
1283,0.347206051,0.08,
1284,0.069615643,0,
1285,0.277994368,0.08,
1286,0.210127812,0.06,
1287,0.139750667,0,
1288,0.448111256,0.08,
1290,0.334465843,0.08,
1292,0.143039194,0.08,
1293,0.167768035,0.06,
1296,0.304265302,0.06,
1297,0.595561881,0.06,
1299,0.155333229,0.06,
1300,0.188732663,0.06,
1301,0.178127282,0.02,
1302,0.11410852,0.06,
1303,0.181272021,0.07,
1304,0.274889427,0.07,
1305,0.420565005,0.07,
1307,0.197474859,0.07,
1308,0.136734024,0.06,
1309,0.295710424,0.06,
1311,0.247753491,0.06,
1312,0.109934785,0.06,
1314,0.217816806,0.06,
1315,0.595971401,0.08,
1316,0.364549666,0.06,
1317,0.145814722,0.06,
1318,0.332324868,0,
1319,0.08215735,0.07,
1321,0.139888521,0.07,
1322,0.054585922,0,
1324,0.216953205,0.07,
1326,0.217470534,0.07,
1327,0.212913638,0.07,
1328,0.145921148,0.06,
1329,0.312632563,0.06,
1330,0.361916881,0,
1331,0.196860926,0.06,
1332,0.192547047,0.06,
1333,0.024393088,0.06,
1334,0.127746015,0.06,
1335,NA,0.07,
1336,0.20681317,0.07,
1337,0.173086839,0.08,
1338,0.163981277,0.06,
1339,0.197830559,0.06,
1341,0.113855846,0.07,
1342,0.280482257,0.06,
1343,0.220646655,0.06,
1345,0.365440912,0.05,
1346,0.150034429,0.07,
1347,0.220532451,0.07,
1349,0.224746621,0.07,
1350,0.180650448,0,
1352,0.181527677,0.06,
1353,0.217486761,0.06,
1354,0.212541432,0.06,
1355,0.174759879,0.06,
1356,0.780317521,0.06,
1359,0.363663133,0.07,
1360,0.213507288,0.07,
1361,0.236905474,0.08,
1362,0.170465215,0,
1363,0.085788597,0.06,
1364,0.338980658,0.06,
1365,0.33871645,0.06,
1366,0.562512555,0.06,
1367,0.310094375,0.07,
1369,NA,0.06,
1370,0.123636167,0.06,
1371,0.494695255,0.06,
1372,0.501045977,0.06,
1373,0.269154277,0.08,
1374,0.406302673,0.06,
1375,0.131602307,0.06,
1376,0.403734805,0.07,
1377,0.110508733,0,
1378,0.254556939,0.08,
1380,0.1326389,0.06,
1381,0.12519698,0,
1382,0.234109279,0.06,
1383,0.11301741,0.08,
1385,0.116451054,0.07,
1386,0.175699662,0.07,
1387,0.311893822,0.08,
1388,0.277134719,0,
1389,0.244546519,0.07,
1390,0.194736979,0.07,
1391,0.125534314,0,
1393,0.081525862,0.08,
1395,0.120035171,0.07,
1397,0.136854948,0.08,
1398,0.186282792,0.08,
1400,0.379349877,0.08,
1401,0.401395586,0.08,
1402,0.16693163,0.08,
1404,0.365752737,0.08,
1405,0.193057556,0.08,
1406,0.147559493,0.08,
1407,0.146590348,0.08,
1409,0.115963724,0.07,
1410,0.129457595,0.08,
1411,0.030787,0,
1412,0.133714089,0.07,
1413,0.428384857,0.06,
1414,0.209655941,0.07,
1415,0.537548524,0.08,
1416,0.161805434,0.08,
1417,0.12834281,0.06,
1418,0.140524243,0.06,
1421,0.266524258,0.06,
1422,0.302227427,0,
1423,0.177844873,0.06,
1424,0.036701411,0.06,
1425,0.076535093,0,
1426,0.35048297,0.06,
1427,0.160765302,0.06,
1428,0.331196016,0.06,
1429,0.328531737,0.08,
1430,0.194928162,0.06,
1431,0.188306549,0.07,
1432,0.315293526,0.07,
1433,0.284319017,0.08,
1435,0.306670339,0.06,
1437,0.239183718,0.06,
1438,0.118821176,0.06,
1439,0.066843324,0.06,
1440,0.176048964,0.11,
1441,0.264823014,0,
1442,0.112166339,0.08,
1443,0.733101835,0.06,
1444,0.174438893,0.06,
1445,0.327762882,0.06,
1446,0.084206238,0.06,
1447,0.381327323,0,
1448,0.10001573,0.08,
1450,0.076741244,0.06,
1452,0.398757413,0,
1453,0.16368521,0.06,
1454,0.066056163,0.07,
1455,0.611042821,0.07,
1456,1.025865938,0.06,
1457,0.258940051,0.08,
1458,0.207876044,0.06,
1459,0.118452916,0.06,
1461,0.389280924,0.06,
1462,0.096928047,0.06,
1463,0.179774885,0.06,
1464,0.391856792,0.06,
1465,0.077491649,0.04,
1468,0.320239489,0.06,
1469,0.185286026,0.07,
1471,0.155311272,0.07,
1472,0.257604565,0.07,
1473,0.341772584,0.06,
1474,0.129797179,0.06,
1475,0.358003645,0.06,
1476,0.396215502,0.06,
1477,0.142103606,0.08,
1478,0.299195753,0.07,
1479,0.288928361,0,
1480,0.174911621,0.07,
1481,0.50603784,0.07,
1482,0.077545647,0,
1483,0.290086859,0.06,
1484,0.144098752,0.04,
1485,0.312454139,0.06,
1487,0.187991722,0.06,
1488,0.162479826,0.07,
1491,0.316823717,0.07,
1492,0.332884607,0.07,
1493,0.194381699,0.07,
1494,0.137928519,0.06,
1495,0.507994936,0.08,
1496,0.266848969,0.06,
1497,0.16308706,0.07,
1498,0.105718248,0.06,
1499,0.384568717,0,
1502,0.282077842,0.08,
1503,0.523727867,0.05,
1504,0.275311172,0.06,
1505,0.224222592,0.06,
1507,0.088001721,0.06,
1508,0.420259715,0,
1510,0.485475701,0.06,
1511,0.125724364,0.06,
1513,0.144347955,0,
1514,0.272199069,0.06,
1515,0.266122096,0.07,
1516,0.398140269,0,
1517,0.157159665,0.07,
1518,0.291500033,0.07,
1520,0.334174457,0.06,
1521,0.316136485,0.06,
1522,0.103507235,0.06,
1523,0.064568155,0.06,
1524,0.967111773,0.04,
1525,0.069495432,0.07,
1526,0.162189445,0.08,
1527,0.116451612,0.07,
1528,0.253193708,0.08,
1529,0.230627363,0.06,
1530,0.118860754,0.07,
1531,0.278894379,0.06,
1532,0.148715825,0.06,
1533,0.170213368,0.06,
1534,0.300369742,0.07,
1535,0.207346393,0.06,
1536,0.234295406,0.06,
1537,0.167137095,0,
1538,0.960926502,0.08,
1539,0.066206805,0.07,
1540,0.142998383,0,
1541,NA,0.06,
1542,0.029287934,0.06,
1543,0.13020191,0.06,
1544,0.466906047,0.08,
1545,0.137037001,0.06,
1546,0.112643334,0.08,
1547,0.292447631,0.06,
1548,0.136625707,0.06,
1549,0.116008526,0.06,
1550,0.295969136,0.06,
1551,0.196926895,0.06,
1553,0.29430462,0.06,
1554,0.181559434,0.08,
1555,0.250256339,0.07,
1556,0.136978354,0.07,
1557,0.242037102,0.06,
1558,0.065460638,0.07,
1559,0.348113269,0.06,
1560,0.190026957,0.07,
1561,0.22443456,0,
1562,0.285744733,0.06,
1563,0.559368981,0.06,
1564,0.352978517,0,
1565,0.170857789,0.06,
1566,0.367567404,0.06,
1567,0.332269556,0.07,
1569,0.770221126,0.07,
1570,0.329142441,0.07,
1573,0.221867894,0.07,
1575,0.154908672,0.06,
1576,0.283690209,0.06,
1577,0.337305781,0.06,
1578,0.358978485,0.06,
1580,0.233024114,0.06,
1581,0.130558767,0.06,
1583,0.943152346,0.06,
1584,0.272303631,0.07,
1585,0.175825664,0.06,
1586,0.317231577,0.08,
1587,0.268330825,0.07,
1590,0.163158591,0.06,
1591,0.390987985,0.06,
1592,0.268115624,0.06,
1593,0.40013851,0.06,
1594,0.270726182,0.08,
1596,0.193303951,0,
1598,0.239226968,0.06,
1599,0.167775659,0.07,
1600,0.18755165,0,
1602,0.06648728,0.06,
1603,0.20958079,0.06,
1606,0.288097743,0.02,
1607,0.175631679,0.07,
1608,0.315915821,0.06,
1609,0.337892778,0.06,
1610,0.17077881,0.06,
1611,0.398021376,0.06,
1612,0.287002556,0.06,
1613,0.21220622,0.06,
1614,0.190545345,0.07,
1615,0.274610182,0.06,
1616,0.147298118,0.06,
1617,0.003365555,0.06,
1618,0.238637648,0.07,
1619,0.109970546,0.06,
1622,0.177053838,0.06,
1623,0.126218393,0.06,
1624,0.151790797,0.06,
1625,0.179245738,0,
1626,0.218474716,0.06,
1627,0.199649427,0.06,
1628,0.137651469,0,
1629,0.526731983,0.07,
1630,0.421144713,0.06,
1631,0.222008192,0.06,
1632,0.12696095,0.06,
1633,0.13150511,0.06,
1634,0.197994921,0.06,
1635,0.45356506,0.06,
1636,0.320995612,0.06,
1637,0.402001986,0.06,
1638,0.109722995,0.06,
1639,0.173209404,0.06,
1641,0.104847894,0.06,
1642,0.315456432,0.07,
1643,0.215158569,0.06,
1645,0.198784677,0.06,
1646,0.093991951,0.06,
1647,0.340591175,0.06,
1648,0.20582124,0.06,
1649,0.536257427,0.06,
1650,0.211665631,0.06,
1651,0.456322682,0.06,
1652,0.158022265,0.06,
1653,0.543503823,0,
1654,0.227585451,0.07,
1655,0.202524673,0.07,
1656,0.122165455,0,
1657,0.334948505,0.07,
1658,0.25210886,0.06,
1659,0.628285663,0.06,
1660,0.142408922,0.06,
1661,0.215358837,0.06,
1663,0.200678742,0.06,
1664,0.355974401,0.06,
1666,0.202412116,0.06,
1667,0.310398117,0.07,
1668,0.530962471,0.07,
1669,0.318513432,0.07,
1670,0.160659513,0.07,
1672,0.190583089,0.06,
1673,0.209648046,0.08,
1674,0.174878901,0.06,
1675,0.308931893,0.06,
1676,0.229069629,0.06,
1677,0.221385729,0.07,
1679,0.197318548,0.07,
1680,0.398090281,0,
1681,0.312168139,0.06,
1682,0.133375725,0.08,
1683,0.411274022,0,
1684,0.173125466,0.07,
1685,0.21130228,0.08,
1686,0.17333102,0.06,
1687,0.484358446,0.06,
1688,0.171002991,0.05,
1689,0.21310936,0,
1690,0.253138097,0.06,
1691,0.162567356,0.07,
1692,0.112384674,0.07,
1693,0.013807346,0.07,
1694,0.380280452,0.07,
1695,0.273046174,0.06,
1697,0.240226121,0.08,
1698,0.108426963,0.06,
1699,0.14303971,0.06,
1700,0.23832474,0.06,
1701,0.45559904,0.08,
1702,0.177367537,0.07,
1704,0.163990595,0.07,
1706,0.128751418,0.06,
1707,0.190706222,0.06,
1708,0.123107003,0.06,
1709,0.127242364,0,
1710,0.277679542,0.08,
1711,0.148927705,0.08,
1713,0.390808172,0,
1715,0.173169755,0.07,
1717,0.75753873,0.07,
1718,0.31223646,0.06,
1719,0.099604366,0.06,
1720,0.174470117,0.06,
1722,0.193133051,0.08,
1723,0.198169991,0.06,
1724,0.592106072,0.06,
1725,0.238364598,0.06,
1726,0.141048448,0.06,
1727,0.056053454,0.06,
1728,0.19655628,0.07,
1729,0.350380938,0.08,
1730,0.096199735,0.07,
1731,0.224632253,0.07,
1732,0.028667465,0.07,
1734,0.15737281,0.06,
1736,0.2987097,0.06,
1737,0.355682349,0.06,
1740,0.304505372,0,
1741,0.084322052,0.06,
1742,0.192320798,0.06,
1743,0.653103442,0,
1744,0.416099566,0.07,
1745,0.141085807,0.07,
1746,0.392863322,0.06,
1747,0.03797717,0.06,
1748,0.158358438,0.06,
1749,0.061713141,0.07,
1750,0.109919033,0.06,
1751,0.223419628,0.06,
1752,0.153188242,0.06,
1753,0.170664038,0.06,
1754,0.352415916,0.08,
1755,0.171062786,0.08,
1756,0.156932309,0.06,
1757,0.267688041,0.05,
1758,0.467666579,0.07,
1760,0.244283668,0.06,
1761,0.294476262,0.06,
1762,0.185578434,0.06,
1763,0.252907469,0.06,
1764,0.236436602,0.06,
1765,0.224666296,0.08,
1766,0.357083896,0.07,
1767,0.273495594,0,
1768,0.372119071,0.07,
1769,0.234270922,0.06,
1770,0.197282935,0,
1772,0.377374298,0.06,
1773,0.425325133,0.04,
1776,0.403348673,0.06,
1777,0.359471652,0.06,
1779,0.14989029,0.06,
1780,0.194448114,0,
1781,0.145581836,0.07,
1782,0.229429764,0.08,
1783,0.276811957,0.07,
1784,0.12589078,0.06,
1786,0.135834428,0.06,
1787,0.108382519,0.06,
1788,0.114175169,0.06,
1790,0.457654222,0.06,
1791,0.332410579,0.08,
1793,0.493286442,0.06,
1794,0.09002573,0.07,
1795,0.282078824,0.07,
1796,0.205390837,0.07,
1797,0.208010199,0,
1798,0.415066368,0.06,
1799,0.12126482,0.08,
1800,0.157147003,0,
1802,0.138687518,0.06,
1803,0.064152179,0.06,
1804,0.228553495,0.07,
1806,0.143852156,0.07,
1807,0.473440621,0.07,
1808,0.24656619,0.06,
1809,0.171085006,0.06,
1810,0.192635123,0.07,
1811,0.328535395,0.06,
1812,0.115034986,0.06,
1814,0.294750015,0.06,
1815,0.221827117,0.06,
1816,0.243515275,0.07,
1817,0.154898991,0.08,
1818,0.170306975,0.06,
1819,0.177225039,0.06,
1820,0.195463886,0.07,
1821,0.535404476,0.07,
1822,0.267166699,0.06,
1823,0.400981392,0.06,
1824,0.570473544,0.06,
1827,0.093285959,0.06,
1828,0.166079293,0,
1829,0.224556897,0.06,
1830,0.225824667,0.08,
1831,0.352832654,0,
1832,0.283578884,0.07,
1833,0.369424734,0.1,
1834,0.166854325,0.08,
1835,0.167989888,0.08,
1836,0.693869047,0.06,
1837,0.132913788,0,
1838,0.449507339,0.06,
1839,0.290680074,0.06,
1840,0.236199851,0.06,
1843,0.374039246,0.07,
1844,0.413052891,0.08,
1845,0.424952205,0.07,
1846,0.274999788,0.07,
1847,0.141129799,0.06,
1848,0.15334458,0.08,
1850,0.107826797,0.04,
1851,0.308785131,0.06,
1853,0.051025089,0.06,
1854,0.1423632,0.06,
1855,0.269202705,0,
1856,0.073606666,0.06,
1859,0.361925451,0.06,
1860,0.248290836,0,
1861,0.173333164,0.07,
1862,0.191253809,0.07,
1863,0.236978318,0.07,
1864,0.268519582,0.06,
1865,0.158121079,0.06,
1867,0.308032768,0.06,
1869,0.145410225,0.06,
1870,0.435782665,0.07,
1871,0.302656199,0,
1872,0.25921845,0.06,
1873,0.203510134,0.08,
1874,0.147362369,0.06,
1875,0.234588861,0.07,
1877,0.222328796,0.07,
1878,0.349877551,0.06,
1879,0.19445297,0.06,
1880,0.118037896,0.06,
1881,0.28168312,0.06,
1882,0.416238087,0.08,
1883,0.215196991,0.08,
1884,0.189341764,0.06,
1885,0.306079759,0.06,
1886,0.360426435,0.02,
1887,0.178997632,0.06,
1888,0.115741896,0.06,
1890,0.255640541,0,
1891,0.168930166,0.07,
1892,0.328740789,0.07,
1893,0.101527688,0.06,
1894,0.182419809,0.06,
1895,0.322285533,0.06,
1896,0.196475695,0,
1897,0.174144664,0.08,
1898,0.113356304,0.06,
1899,0.241182203,0.06,
1900,0.323760288,0.06,
1902,0.161492591,0.06,
1904,0.177343488,0.06,
1905,0.227495461,0.06,
1906,NA,0.06,
1907,0.42743621,0.06,
1908,0.505149178,0.06,
1909,0.186352113,0.06,
1910,0.191351051,0.07,
1912,0.359796505,0.06,
1914,0.284248715,0.07,
1916,0.477731954,0.07,
1917,0.245630596,0.04,
1918,0.098326519,0,
1919,0.174947695,0.06,
1921,0.202297362,0.06,
1922,0.180271696,0.08,
1923,0.25754328,0.06,
1925,0.18090567,0.07,
1926,0.14838171,0.08,
1927,0.204234808,0.06,
1928,0.079953898,0.08,
1929,0.226981331,0.02,
1930,0.469246822,0.06,
1931,0.140629748,0.06,
1932,0.318568627,0.06,
1933,0.24233781,0.08,
1934,0.2575349,0.04,
1935,0.170676708,0.06,
1938,0.141555777,0.06,
1939,0.443427243,0.08,
1940,0.095336748,0.06,
1941,0.612878896,0.08,
1942,0.113007057,0.06,
1943,0.215043576,0.07,
1944,0.467598184,0.06,
1945,0.107861943,0,
1946,0.354941491,0.06,
1948,0.24556358,0.06,
1949,0.192694659,0,
1950,0.177991478,0.06,
1951,0.184612004,0.06,
1952,0.451717123,0.08,
1953,0.237159127,0.08,
1955,0.098031171,0.07,
1959,0.167910052,0,
1961,0.269086516,0.06,
1962,0.170563689,0.06,
1963,0.210364313,0,
1964,NA,0.06,
1965,0.128430818,0.06,
1966,0.273442307,0.07,
1967,0.151121143,0.07,
1968,0.496813658,0.07,
1969,0.140469302,0.06,
1970,0.327411851,0.07,
1971,0.212380965,0.07,
1972,0.214639616,0.06,
1973,0.251886914,0.06,
1974,0.468375063,0.06,
1975,0.146126142,0.06,
1976,0.108633234,0.06,
1977,0.255457857,0,
1980,0.322838367,0.06,
1981,0.161264689,0.06,
1982,0.204337818,0.08,
1983,0.09284204,0.08,
1984,0.177904786,0.06,
1985,0.298362639,0.06,
1986,0.104330412,0.07,
1987,0.27536334,0.08,
1988,0.193216656,0,
1989,0.154827526,0.07,
1990,0.306134213,0.05,
1991,0.357918147,0.07,
1992,0.187660399,0.07,
1993,0.307936726,0.06,
1994,0.177854032,0.06,
1995,0.15082691,0.06,
1996,0.249844211,0.06,
1997,0.16204686,0.06,
1998,0.235939227,0.06,
2000,0.16305632,0.06,
2001,0.294178798,0.06,
2002,0.480947672,0.06,
2003,0.298795116,0.06,
2004,0.179960033,0.14,
2005,1.068215078,0.06,
2006,0.384804147,0.01,
2007,0.265495809,0.07,
2008,0.208733815,0.06,
2009,0.210830071,0.06,
2010,0.066430379,0.06,
2011,0.187022624,0.09,
2013,0.167869034,0,
2015,0.251468724,0.06,
2017,0.122724549,0.07,
2018,0.20251792,0,
2019,0.126431712,0.06,
2020,0.230154527,0.07,
2022,0.204664883,0.06,
2023,0.19949013,0.07,
2024,0.182363155,0.07,
2025,0.220096749,0.06,
2026,0.228981028,0.06,
2027,0.226097623,0.06,
2028,0.108081835,0.06,
2029,0.25860237,0.06,
2030,0.24391744,0.06,
2031,0.296553727,0.06,
2032,0.20194857,0.06,
2034,0.324452856,0,
2035,0.198827116,0.07,
2036,0.18587356,0.07,
2037,NA,0.06,
2038,0.1145879,0.1,
2039,0.233988933,0.1,
2041,0.158933308,0.09,
2042,0.208238131,0.07,
2043,0.266225645,0.06,
2044,0.27023171,0,
2045,0.342420339,0.08,
2046,0.316920455,0.08,
2047,0.419345321,0,
2048,0.281677291,0.08,
2049,0.249195879,0.07,
2050,0.385037634,0.06,
2051,0.172596662,0.06,
2052,0.654674561,0.08,
2053,0.153041618,0.07,
2054,0.113996536,0.07,
2055,0.434844589,0.06,
2056,0.198724631,0.06,
2057,0.089890449,0.06,
2058,0.273047228,0.06,
